E_1 / keV,Cs137,Background
0,0,0
2.9,2,0
5.7,5,0
8.6,15,0
11.5,13,0
14.3,31,0
17.2,30,0
20.1,26,0
23,41,0
25.8,44,0
28.7,33,0
31.6,50,1
34.4,33,1
37.3,36,4
40.2,42,1
43,48,1
45.9,41,1
48.8,38,0
51.7,48,2
54.5,58,1
57.4,51,1
60.3,58,0
63.1,50,0
66,51,0
68.9,63,2
71.7,71,0
74.6,48,1
77.5,57,0
80.3,68,0
83.2,70,0
86.1,64,0
89,96,0
91.8,63,1
94.7,70,0
97.6,66,0
100.4,82,1
103.3,89,1
106.2,89,1
109,91,1
111.9,93,2
114.8,85,2
117.7,73,3
120.5,90,3
123.4,75,2
126.3,76,3
129.1,75,0
132,70,0
134.9,80,0
137.7,84,2
140.6,67,1
143.5,78,0
146.3,83,2
149.2,68,0
152.1,66,3
155,65,0
157.8,79,3
160.7,74,4
163.6,71,1
166.4,93,1
169.3,66,2
172.2,78,1
175,57,1
177.9,62,1
180.8,69,0
183.6,63,0
186.5,58,0
189.4,75,0
192.3,67,0
195.1,84,1
198,74,2
200.9,74,1
203.7,73,0
206.6,74,1
209.5,63,0
212.3,74,3
215.2,71,1
218.1,68,1
221,87,2
223.8,67,5
226.7,86,4
229.6,68,0
232.4,84,1
235.3,82,1
238.2,72,9
241,75,1
243.9,59,2
246.8,84,7
249.6,85,2
252.5,87,4
255.4,76,4
258.3,77,1
261.1,76,3
264,85,4
266.9,84,4
269.7,85,1
272.6,79,3
275.5,83,3
278.3,113,6
281.2,69,6
284.1,100,13
287,80,4
289.8,92,12
292.7,77,6
295.6,92,2
298.4,79,10
301.3,71,4
304.2,73,3
307,86,4
309.9,81,1
312.8,73,12
315.6,86,3
318.5,78,3
321.4,97,2
324.3,77,4
327.1,74,5
330,77,5
332.9,80,1
335.7,88,5
338.6,82,3
341.5,72,3
344.3,68,5
347.2,77,4
350.1,65,5
353,86,1
355.8,79,4
358.7,81,2
361.6,76,1
364.4,71,8
367.3,75,7
370.2,76,4
373,93,4
375.9,76,4
378.8,82,2
381.6,82,1
384.5,75,5
387.4,75,4
390.3,83,2
393.1,69,3
396,82,5
398.9,84,6
401.7,75,1
404.6,93,8
407.5,85,1
410.3,79,4
413.2,74,1
416.1,82,3
419,72,5
421.8,80,4
424.7,89,4
427.6,87,4
430.4,99,0
433.3,83,5
436.2,78,3
439,93,5
441.9,77,3
444.8,71,3
447.6,89,5
450.5,97,6
453.4,86,4
456.3,90,5
459.1,91,3
462,91,9
464.9,102,3
467.7,98,5
470.6,98,5
473.5,112,4
476.3,109,3
479.2,87,5
482.1,84,4
485,102,6
487.8,132,5
490.7,95,5
493.6,102,3
496.4,95,2
499.3,119,2
502.2,105,3
505,112,2
507.9,108,4
510.8,117,4
513.6,109,1
516.5,98,5
519.4,119,4
522.3,101,3
525.1,111,5
528,114,2
530.9,137,6
533.7,104,0
536.6,109,3
539.5,132,1
542.3,137,3
545.2,132,4
548.1,104,5
550.9,148,4
553.8,113,1
556.7,124,2
559.6,122,2
562.4,110,4
565.3,136,0
568.2,130,6
571,134,3
573.9,122,1
576.8,140,3
579.6,133,1
582.5,147,5
585.4,138,3
588.3,140,4
591.1,143,2
594,118,1
596.9,110,3
599.7,144,3
602.6,145,2
605.5,161,2
608.3,158,1
611.2,153,0
614.1,155,3
616.9,138,0
619.8,161,3
622.7,166,4
625.6,162,1
628.4,160,2
631.3,150,2
634.2,152,1
637,138,2
639.9,156,2
642.8,169,1
645.6,150,1
648.5,179,3
651.4,169,2
654.3,169,3
657.1,147,3
660,187,5
662.9,165,1
665.7,148,4
668.6,169,4
671.5,139,2
674.3,153,3
677.2,138,1
680.1,155,1
682.9,159,3
685.8,134,1
688.7,151,8
691.6,149,1
694.4,145,2
697.3,144,4
700.2,155,5
703,159,1
705.9,182,0
708.8,169,2
711.6,149,2
714.5,145,1
717.4,169,2
720.3,136,3
723.1,146,4
726,139,2
728.9,161,2
731.7,141,0
734.6,149,0
737.5,168,0
740.3,169,2
743.2,147,2
746.1,163,2
748.9,144,4
751.8,165,2
754.7,182,1
757.6,145,1
760.4,126,3
763.3,156,1
766.2,173,3
769,129,1
771.9,150,0
774.8,168,3
777.6,148,3
780.5,134,0
783.4,138,2
786.3,148,1
789.1,165,1
792,143,2
794.9,143,1
797.7,166,4
800.6,178,2
803.5,159,0
806.3,156,0
809.2,149,1
812.1,166,3
814.9,150,1
817.8,138,0
820.7,155,2
823.6,143,1
826.4,152,1
829.3,154,1
832.2,151,2
835,160,0
837.9,154,2
840.8,161,1
843.6,158,0
846.5,131,1
849.4,141,1
852.2,137,1
855.1,125,0
858,159,2
860.9,168,1
863.7,156,2
866.6,147,6
869.5,145,4
872.3,142,0
875.2,151,2
878.1,160,1
880.9,151,0
883.8,156,1
886.7,145,1
889.6,134,1
892.4,152,1
895.3,154,2
898.2,146,0
901,170,1
903.9,155,2
906.8,172,1
909.6,165,3
912.5,142,0
915.4,133,1
918.2,176,1
921.1,157,0
924,136,4
926.9,165,0
929.7,153,1
932.6,177,0
935.5,155,0
938.3,181,1
941.2,160,3
944.1,151,0
946.9,156,2
949.8,157,3
952.7,159,4
955.6,156,0
958.4,151,1
961.3,159,0
964.2,132,1
967,152,2
969.9,162,0
972.8,166,1
975.6,160,2
978.5,176,1
981.4,162,1
984.2,148,2
987.1,170,0
990,173,1
992.9,158,3
995.7,167,0
998.6,159,1
1001.5,153,1
1004.3,159,0
1007.2,162,0
1010.1,172,0
1012.9,165,2
1015.8,155,1
1018.7,187,0
1021.6,182,1
1024.4,172,2
1027.3,181,1
1030.2,157,0
1033,163,1
1035.9,160,2
1038.8,169,2
1041.6,160,1
1044.5,165,3
1047.4,163,3
1050.2,182,0
1053.1,155,1
1056,171,1
1058.9,161,0
1061.7,166,0
1064.6,164,2
1067.5,176,0
1070.3,190,0
1073.2,160,1
1076.1,178,1
1078.9,192,0
1081.8,165,1
1084.7,195,1
1087.6,161,2
1090.4,198,2
1093.3,154,2
1096.2,186,0
1099,183,2
1101.9,189,1
1104.8,180,1
1107.6,206,0
1110.5,170,1
1113.4,181,0
1116.2,179,0
1119.1,186,0
1122,188,0
1124.9,193,1
1127.7,176,0
1130.6,193,3
1133.5,216,1
1136.3,171,2
1139.2,177,0
1142.1,190,1
1144.9,194,2
1147.8,179,0
1150.7,183,0
1153.6,179,0
1156.4,204,0
1159.3,214,0
1162.2,157,2
1165,201,0
1167.9,189,0
1170.8,172,2
1173.6,190,0
1176.5,182,0
1179.4,191,1
1182.2,187,0
1185.1,202,0
1188,200,0
1190.9,195,1
1193.7,207,1
1196.6,188,0
1199.5,171,1
1202.3,191,0
1205.2,192,1
1208.1,194,0
1210.9,198,0
1213.8,204,0
1216.7,189,2
1219.5,178,1
1222.4,182,2
1225.3,183,1
1228.2,215,1
1231,176,0
1233.9,184,0
1236.8,188,0
1239.6,196,0
1242.5,214,0
1245.4,190,2
1248.2,204,0
1251.1,193,1
1254,177,1
1256.9,169,2
1259.7,204,2
1262.6,188,2
1265.5,177,0
1268.3,173,1
1271.2,197,0
1274.1,186,1
1276.9,193,0
1279.8,193,2
1282.7,182,1
1285.5,192,0
1288.4,208,1
1291.3,183,0
1294.2,193,0
1297,199,3
1299.9,194,3
1302.8,181,1
1305.6,217,0
1308.5,216,0
1311.4,192,0
1314.2,208,1
1317.1,173,2
1320,218,2
1322.9,192,0
1325.7,177,1
1328.6,173,1
1331.5,189,0
1334.3,193,0
1337.2,212,1
1340.1,177,1
1342.9,181,0
1345.8,207,3
1348.7,221,0
1351.5,175,0
1354.4,186,4
1357.3,188,0
1360.2,189,0
1363,179,1
1365.9,196,0
1368.8,199,1
1371.6,182,1
1374.5,195,0
1377.4,198,0
1380.2,179,0
1383.1,184,2
1386,210,0
1388.9,170,0
1391.7,173,0
1394.6,192,0
1397.5,186,0
1400.3,199,0
1403.2,185,2
1406.1,184,1
1408.9,160,0
1411.8,180,0
1414.7,196,1
1417.5,156,1
1420.4,172,1
1423.3,156,0
1426.2,183,0
1429,167,0
1431.9,176,0
1434.8,184,1
1437.6,175,0
1440.5,170,0
1443.4,177,0
1446.2,178,2
1449.1,153,0
1452,155,0
1454.9,159,1
1457.7,164,0
1460.6,172,1
1463.5,168,1
1466.3,175,1
1469.2,169,0
1472.1,158,0
1474.9,175,0
1477.8,168,0
1480.7,163,0
1483.5,155,1
1486.4,127,1
1489.3,155,0
1492.2,160,1
1495,164,2
1497.9,193,1
1500.8,168,0
1503.6,162,0
1506.5,179,1
1509.4,155,2
1512.2,155,0
1515.1,159,0
1518,177,0
1520.8,162,3
1523.7,144,1
1526.6,156,0
1529.5,167,2
1532.3,181,0
1535.2,163,0
1538.1,160,0
1540.9,171,0
1543.8,169,0
1546.7,194,0
1549.5,162,1
1552.4,184,1
1555.3,161,1
1558.2,186,1
1561,169,0
1563.9,175,0
1566.8,189,0
1569.6,179,1
1572.5,173,1
1575.4,198,2
1578.2,190,0
1581.1,192,0
1584,173,0
1586.8,194,0
1589.7,163,0
1592.6,184,2
1595.5,206,1
1598.3,187,1
1601.2,201,0
1604.1,187,0
1606.9,208,0
1609.8,215,0
1612.7,174,0
1615.5,195,0
1618.4,206,0
1621.3,209,1
1624.2,216,0
1627,214,1
1629.9,210,1
1632.8,231,0
1635.6,211,1
1638.5,190,0
1641.4,234,1
1644.2,229,1
1647.1,215,0
1650,255,0
1652.8,278,0
1655.7,252,0
1658.6,236,3
1661.5,271,1
1664.3,249,1
1667.2,244,0
1670.1,288,1
1672.9,267,0
1675.8,274,0
1678.7,267,0
1681.5,274,1
1684.4,266,0
1687.3,287,0
1690.2,287,0
1693,310,0
1695.9,290,0
1698.8,313,1
1701.6,321,1
1704.5,306,0
1707.4,338,0
1710.2,318,0
1713.1,312,0
1716,380,0
1718.8,354,1
1721.7,379,1
1724.6,379,1
1727.5,344,0
1730.3,355,1
1733.2,371,1
1736.1,345,1
1738.9,385,0
1741.8,394,0
1744.7,380,1
1747.5,442,2
1750.4,437,0
1753.3,406,0
1756.2,486,1
1759,483,0
1761.9,456,1
1764.8,480,1
1767.6,485,0
1770.5,476,0
1773.4,456,1
1776.2,496,2
1779.1,495,1
1782,486,0
1784.8,532,0
1787.7,542,0
1790.6,553,0
1793.5,532,3
1796.3,557,1
1799.2,564,1
1802.1,559,2
1804.9,600,0
1807.8,631,0
1810.7,593,0
1813.5,592,2
1816.4,624,0
1819.3,659,0
1822.1,676,0
1825,659,1
1827.9,675,1
1830.8,691,0
1833.6,738,0
1836.5,724,0
1839.4,782,0
1842.2,757,0
1845.1,780,0
1848,780,0
1850.8,800,0
1853.7,810,2
1856.6,807,0
1859.5,818,0
1862.3,801,1
1865.2,796,0
1868.1,845,1
1870.9,834,0
1873.8,889,0
1876.7,833,0
1879.5,839,0
1882.4,899,0
1885.3,918,0
1888.1,913,0
1891,961,1
1893.9,971,0
1896.8,920,0
1899.6,958,0
1902.5,956,0
1905.4,919,2
1908.2,963,0
1911.1,1009,0
1914,993,3
1916.8,965,0
1919.7,1050,0
1922.6,1027,1
1925.5,1044,0
1928.3,1124,0
1931.2,1012,2
1934.1,1010,0
1936.9,1103,1
1939.8,1074,0
1942.7,1079,0
1945.5,1170,0
1948.4,1173,2
1951.3,1126,0
1954.1,1077,1
1957,1122,1
1959.9,1174,1
1962.8,1193,0
1965.6,1220,0
1968.5,1208,0
1971.4,1132,0
1974.2,1212,0
1977.1,1179,1
1980,1132,0
1982.8,1157,0
1985.7,1199,0
1988.6,1148,0
1991.5,1198,0
1994.3,1230,0
1997.2,1216,0
2000.1,1214,0
2002.9,1261,0
2005.8,1203,0
2008.7,1185,0
2011.5,1100,0
2014.4,1192,1
2017.3,1216,0
2020.1,1210,1
2023,1230,0
2025.9,1129,0
2028.8,1181,1
2031.6,1127,1
2034.5,1237,0
2037.4,1233,0
2040.2,1182,0
2043.1,1135,1
2046,1190,0
2048.8,1080,1
2051.7,1130,0
2054.6,1061,1
2057.5,1125,1
2060.3,1024,0
2063.2,1092,1
2066.1,1030,0
2068.9,1093,0
2071.8,1037,0
2074.7,1044,0
2077.5,965,1
2080.4,1090,0
2083.3,966,1
2086.1,1045,0
2089,965,0
2091.9,977,1
2094.8,986,0
2097.6,965,0
2100.5,1002,0
2103.4,884,1
2106.2,956,0
2109.1,893,1
2112,902,0
2114.8,891,0
2117.7,892,0
2120.6,916,0
2123.5,859,0
2126.3,821,0
2129.2,836,1
2132.1,834,0
2134.9,846,0
2137.8,786,2
2140.7,771,0
2143.5,745,0
2146.4,710,1
2149.3,711,0
2152.1,729,0
2155,654,0
2157.9,701,0
2160.8,652,0
2163.6,698,0
2166.5,629,1
2169.4,634,0
2172.2,622,0
2175.1,640,0
2178,602,0
2180.8,590,0
2183.7,603,1
2186.6,570,0
2189.4,553,0
2192.3,619,0
2195.2,558,0
2198.1,535,1
2200.9,496,0
2203.8,499,1
2206.7,473,0
2209.5,517,0
2212.4,480,0
2215.3,520,0
2218.1,439,0
2221,489,0
2223.9,519,0
2226.8,469,1
2229.6,526,0
2232.5,446,0
2235.4,496,0
2238.2,446,0
2241.1,408,1
2244,431,0
2246.8,463,0
2249.7,419,1
2252.6,437,0
2255.4,444,0
2258.3,417,0
2261.2,441,0
2264.1,417,1
2266.9,415,0
2269.8,403,0
2272.7,390,1
2275.5,391,0
2278.4,401,0
2281.3,402,0
2284.1,351,0
2287,398,3
2289.9,341,0
2292.8,403,0
2295.6,377,1
2298.5,403,0
2301.4,382,0
2304.2,385,0
2307.1,396,0
2310,354,0
2312.8,359,0
2315.7,415,0
2318.6,387,0
2321.4,374,0
2324.3,328,1
2327.2,342,1
2330.1,375,0
2332.9,335,0
2335.8,378,0
2338.7,374,0
2341.5,365,0
2344.4,346,0
2347.3,329,0
2350.1,345,0
2353,358,0
2355.9,391,0
2358.8,358,0
2361.6,369,1
2364.5,348,0
2367.4,340,1
2370.2,335,0
2373.1,352,1
2376,364,0
2378.8,367,0
2381.7,329,0
2384.6,356,0
2387.4,352,0
2390.3,424,0
2393.2,358,1
2396.1,361,0
2398.9,350,0
2401.8,354,0
2404.7,368,1
2407.5,332,1
2410.4,319,1
2413.3,345,0
2416.1,372,1
2419,343,0
2421.9,326,1
2424.8,360,0
2427.6,348,1
2430.5,320,0
2433.4,349,1
2436.2,352,0
2439.1,317,0
2442,338,0
2444.8,347,1
2447.7,317,0
2450.6,316,0
2453.4,353,0
2456.3,347,2
2459.2,330,0
2462.1,325,1
2464.9,334,0
2467.8,338,1
2470.7,367,0
2473.5,338,0
2476.4,356,0
2479.3,340,0
2482.1,344,0
2485,340,0
2487.9,356,0
2490.7,349,0
2493.6,357,2
2496.5,351,0
2499.4,378,1
2502.2,339,0
2505.1,352,0
2508,336,0
2510.8,377,2
2513.7,364,1
2516.6,326,0
2519.4,340,1
2522.3,341,1
2525.2,332,1
2528.1,352,0
2530.9,371,0
2533.8,348,0
2536.7,339,0
2539.5,369,0
2542.4,312,0
2545.3,359,0
2548.1,364,0
2551,342,0
2553.9,366,0
2556.7,366,0
2559.6,353,0
2562.5,354,0
2565.4,356,0
2568.2,325,0
2571.1,319,0
2574,353,0
2576.8,351,0
2579.7,361,0
2582.6,365,0
2585.4,339,1
2588.3,351,1
2591.2,372,0
2594.1,318,0
2596.9,351,0
2599.8,329,0
2602.7,333,0
2605.5,366,0
2608.4,351,0
2611.3,311,0
2614.1,337,0
2617,337,1
2619.9,354,0
2622.7,343,0
2625.6,362,0
2628.5,352,0
2631.4,366,0
2634.2,335,1
2637.1,342,0
2640,391,0
2642.8,330,0
2645.7,336,1
2648.6,323,0
2651.4,366,0
2654.3,322,1
2657.2,307,0
2660.1,340,1
2662.9,323,0
2665.8,317,2
2668.7,293,0
2671.5,312,0
2674.4,329,0
2677.3,351,1
2680.1,348,1
2683,377,0
2685.9,369,0
2688.7,341,2
2691.6,329,0
2694.5,387,1
2697.4,356,0
2700.2,319,0
2703.1,349,0
2706,325,0
2708.8,332,0
2711.7,324,0
2714.6,315,0
2717.4,329,0
2720.3,346,0
2723.2,348,0
2726.1,351,1
2728.9,329,1
2731.8,300,0
2734.7,304,0
2737.5,345,0
2740.4,348,0
2743.3,348,0
2746.1,327,0
2749,316,0
2751.9,315,1
2754.7,293,0
2757.6,322,1
2760.5,308,0
2763.4,329,1
2766.2,347,0
2769.1,313,1
2772,315,0
2774.8,318,0
2777.7,356,0
2780.6,346,0
2783.4,309,0
2786.3,314,0
2789.2,313,1
2792.1,302,1
2794.9,318,1
2797.8,314,0
2800.7,317,1
2803.5,310,0
2806.4,299,1
2809.3,341,0
2812.1,288,1
2815,329,0
2817.9,316,1
2820.7,288,0
2823.6,332,0
2826.5,295,0
2829.4,309,0
2832.2,318,0
2835.1,301,0
2838,343,0
2840.8,346,0
2843.7,300,0
2846.6,305,0
2849.4,293,0
2852.3,329,0
2855.2,335,0
2858,343,1
2860.9,368,0
2863.8,325,0
2866.7,345,2
2869.5,329,0
2872.4,311,0
2875.3,323,0
2878.1,332,0
2881,309,0
2883.9,311,1
2886.7,309,0
2889.6,298,1
2892.5,296,1
2895.4,301,0
2898.2,305,0
2901.1,300,0
2904,314,1
