E_1 / keV,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,N_10,N_11
14.59,1141,3,10,62,178,14,2,15,59,44,143
14.64,1244,0,9,84,191,15,3,19,61,42,122
14.69,1148,1,8,81,171,7,3,22,53,50,126
14.74,1071,1,9,99,203,10,5,15,56,46,127
14.79,1136,1,7,84,200,5,3,17,47,45,109
14.84,1181,1,11,91,236,9,2,15,60,46,116
14.89,1100,2,14,90,276,11,3,15,64,44,111
14.94,1143,2,14,75,308,7,4,12,65,57,114
15,1167,3,12,87,383,8,3,8,50,34,104
15.05,1112,2,10,89,524,4,1,8,60,63,113
15.1,1112,1,12,68,728,5,2,11,51,54,103
15.15,1108,0,8,96,928,5,3,12,53,54,108
15.2,1095,2,15,79,1374,6,4,7,52,49,79
15.25,1100,0,8,86,1956,11,2,8,65,50,99
15.3,1135,4,14,90,2552,12,5,10,54,52,79
15.35,1152,2,16,87,3403,14,2,7,59,36,96
15.4,1155,1,15,88,4555,10,4,10,56,57,96
15.45,1114,5,12,79,5709,13,2,8,49,56,75
15.5,1109,2,14,93,6588,7,2,6,74,45,87
15.55,1148,2,16,76,7534,7,1,8,62,45,85
15.6,1065,3,9,92,7968,12,1,5,50,45,85
15.65,1026,1,13,61,8002,7,1,6,54,43,73
15.71,1010,4,16,78,7918,9,0,9,35,47,67
15.76,1010,3,19,65,7311,8,2,4,43,47,75
15.81,991,0,19,75,6412,4,3,4,46,65,94
15.86,1019,5,13,83,5184,9,2,5,49,37,86
15.91,984,2,16,79,4237,10,0,2,52,39,65
15.96,994,5,19,62,3150,5,1,1,47,46,71
16.01,1015,1,8,92,2107,9,2,2,39,43,100
16.06,947,1,15,65,1526,11,1,1,50,41,90
16.11,1054,4,24,91,974,3,3,2,42,55,76
16.16,939,1,17,92,619,8,3,1,40,54,83
16.21,962,2,27,66,428,12,3,3,45,48,103
16.26,969,0,25,48,296,4,1,2,40,49,99
16.31,969,2,24,57,261,7,1,4,35,43,93
16.36,922,0,27,66,189,6,5,1,36,51,90
16.41,892,1,35,72,194,11,5,0,32,45,73
16.47,903,3,23,61,174,9,3,4,44,37,84
16.52,904,2,31,59,180,8,2,3,34,55,83
16.57,875,0,36,67,199,6,2,2,36,47,83
16.62,902,0,33,63,171,8,0,3,40,45,90
16.67,890,0,38,44,160,17,5,3,43,54,90
16.72,878,0,35,60,172,15,2,0,47,56,99
16.77,888,0,35,52,173,10,2,3,37,37,83
16.82,835,0,43,59,171,8,0,1,41,47,87
16.87,873,1,41,66,184,12,2,1,37,39,74
16.92,815,1,53,63,158,13,3,1,35,41,78
16.97,879,0,101,76,153,10,3,0,36,52,77
17.02,827,1,151,76,174,17,2,1,43,46,67
17.07,842,1,226,64,175,10,0,0,28,43,59
17.13,830,1,333,66,207,14,0,2,32,41,62
17.18,800,2,503,67,306,13,0,1,40,42,58
17.23,844,3,695,53,377,14,1,0,44,40,49
17.28,787,0,882,63,467,10,2,1,28,35,46
17.33,753,1,1042,61,569,8,5,1,30,38,50
17.38,788,1,1225,70,739,9,3,5,45,41,65
17.43,745,2,1286,60,782,9,8,2,22,40,49
17.48,737,2,1338,72,934,7,2,2,36,29,44
17.53,750,0,1242,59,1007,5,3,1,36,43,50
17.58,756,1,1103,57,1146,1,4,2,43,45,51
17.63,801,0,911,71,1185,2,8,0,35,39,35
17.68,771,0,674,63,1111,3,3,4,38,32,38
17.73,729,1,500,71,1087,2,3,5,47,43,51
17.78,767,1,360,74,944,4,4,3,29,44,49
17.84,743,0,228,63,856,3,3,3,35,34,55
17.89,706,0,147,55,625,3,2,0,40,36,57
17.94,635,2,77,77,523,5,0,1,48,40,54
17.99,686,0,44,62,399,3,3,0,41,30,51
18.04,630,1,26,65,331,2,4,3,29,41,42
18.09,685,1,18,61,224,3,2,1,41,30,43
18.14,623,0,10,63,179,2,1,0,34,51,47
18.19,681,0,10,60,128,2,4,2,42,40,28
18.24,686,0,9,74,95,5,0,0,39,37,30
18.29,646,0,9,62,60,4,1,2,34,30,36
18.34,585,1,4,56,61,1,0,1,34,41,43
18.39,603,1,8,60,53,0,2,2,29,32,34
18.44,687,1,4,76,50,3,0,1,31,27,30
18.49,692,1,5,58,41,6,6,0,36,38,37
18.54,657,1,6,59,34,3,0,2,39,30,29
18.6,606,0,9,62,29,1,3,2,33,43,36
18.65,633,1,4,70,27,2,0,1,45,36,28
18.7,624,2,9,56,27,3,1,1,24,42,23
18.75,668,2,7,67,24,1,1,1,34,29,32
18.8,651,0,11,76,36,3,6,1,32,34,18
18.85,564,0,10,66,27,1,2,2,34,34,26
18.9,539,0,8,49,18,3,1,1,23,38,31
18.95,550,0,10,51,24,2,3,2,34,34,28
19,605,0,8,46,23,1,3,2,32,29,31
19.05,586,0,9,62,20,3,2,4,45,39,40
19.1,574,0,12,60,20,2,3,2,28,33,29
19.15,558,1,18,53,26,2,0,1,37,40,31
19.2,543,1,31,53,23,2,0,2,29,25,44
19.25,544,0,43,43,25,2,1,1,34,39,28
19.31,559,1,65,55,17,2,2,1,35,43,36
19.36,511,0,68,55,11,1,0,2,28,32,34
19.41,503,0,97,53,26,4,3,0,28,36,26
19.46,514,0,131,49,10,1,0,2,33,33,21
19.51,508,1,143,52,17,3,1,1,36,37,27
19.56,478,0,181,46,26,2,4,3,34,39,27
19.61,489,1,176,50,21,2,2,2,16,34,16
19.66,468,2,179,58,18,4,1,0,27,32,21
19.71,510,0,133,49,13,0,2,2,21,36,26
19.76,515,0,122,54,22,0,0,1,25,26,16
19.81,508,2,121,54,17,0,1,1,30,28,24
19.86,494,0,98,52,19,1,2,1,27,30,23
19.91,469,0,81,47,27,0,2,1,29,33,13
19.96,497,0,63,45,19,3,1,2,20,30,15
20.02,463,2,42,54,20,1,2,0,30,22,15
20.07,446,0,34,64,22,1,2,1,23,34,12
20.12,476,1,29,76,24,3,2,1,24,22,11
20.17,494,0,17,58,20,1,1,2,32,31,14
20.22,441,1,15,64,20,0,0,0,31,30,17
20.27,459,1,6,48,26,1,3,3,27,25,17
20.32,479,0,9,52,24,1,1,1,27,29,12
20.37,456,0,1,51,15,2,1,2,27,20,14
20.42,460,0,1,62,23,0,3,1,31,31,18
20.47,449,1,0,62,22,0,1,1,36,23,11
20.52,371,0,2,71,11,1,1,1,26,28,8
20.57,407,0,0,57,16,0,0,0,27,24,10
20.62,438,0,1,54,25,0,1,0,23,29,14
20.67,412,1,1,65,12,0,0,5,30,21,12
20.73,398,0,0,55,14,1,1,2,17,26,13
20.78,406,0,1,67,12,1,0,2,26,24,8
20.83,426,0,1,57,14,2,0,2,18,31,8
20.88,421,1,2,67,17,1,1,1,20,37,9
20.93,387,0,2,65,14,2,1,2,27,29,12
20.98,409,0,1,75,21,1,4,0,37,38,19
21.03,374,1,0,66,30,2,0,1,33,25,6
21.08,385,0,1,62,15,0,1,0,25,29,9
21.13,360,1,1,71,16,1,1,0,24,30,21
21.18,370,0,0,53,21,0,0,2,36,35,9
21.23,345,1,1,57,16,1,3,1,21,31,9
21.28,378,0,1,81,17,1,3,3,26,29,17
21.33,359,1,0,83,18,1,6,2,26,24,13
21.38,375,0,1,83,16,2,1,0,25,24,11
21.44,417,2,0,117,18,3,2,6,35,30,6
21.49,379,0,0,139,25,1,0,2,21,32,11
21.54,360,0,1,194,17,3,3,3,19,24,5
21.59,410,0,2,262,15,1,0,0,27,25,14
21.64,396,0,0,392,16,0,0,0,33,33,15
21.69,391,0,1,627,16,1,1,2,25,33,10
21.74,412,0,0,867,17,1,0,1,27,28,18
21.79,357,0,1,1173,14,1,1,0,19,31,15
21.84,415,0,1,1473,17,1,2,1,23,36,13
21.89,385,1,0,1983,22,0,2,1,35,40,16
21.94,372,0,1,2328,16,0,0,2,30,41,18
21.99,332,1,1,2687,17,1,4,0,39,48,12
22.04,357,0,2,2782,16,1,1,1,49,51,16
22.09,309,0,0,2730,17,1,2,0,48,40,15
22.15,302,0,2,2517,13,1,1,1,34,39,12
22.2,319,0,1,2307,13,1,2,1,34,38,8
22.25,294,1,1,2014,18,1,0,3,40,40,7
22.3,263,0,1,1585,19,2,1,2,25,40,5
22.35,289,0,0,1202,13,1,0,1,28,45,12
22.4,268,1,1,802,9,4,0,0,26,40,8
22.45,303,1,1,562,16,2,2,3,25,37,5
22.5,325,1,1,345,16,0,0,2,24,36,7
22.55,290,0,0,207,12,0,0,0,19,30,4
22.6,286,0,1,111,11,0,0,2,20,30,8
22.65,286,0,0,77,15,1,0,1,18,19,5
22.7,267,0,0,53,9,0,0,1,24,31,9
22.75,245,0,0,44,13,0,1,2,22,26,9
22.8,252,0,0,25,9,0,1,3,12,20,11
22.86,250,0,0,20,14,0,1,0,22,26,9
22.91,262,0,0,32,18,1,0,0,20,25,8
22.96,233,0,0,36,13,0,0,0,21,37,12
23.01,248,1,0,32,16,1,0,1,17,27,11
23.06,253,0,1,31,10,0,2,3,21,29,4
23.11,258,0,1,34,13,1,0,0,13,27,3
23.16,246,0,0,33,11,1,1,0,25,29,8
23.21,243,0,1,25,12,0,0,0,22,28,7
23.26,243,2,0,27,18,0,0,1,20,42,6
23.31,220,0,0,30,22,1,0,2,17,43,6
23.36,231,0,1,42,22,0,0,0,18,41,8
23.41,232,0,0,29,17,0,0,0,15,37,3
23.46,234,1,1,37,24,0,2,0,26,56,5
23.51,235,0,0,25,16,2,0,1,22,63,4
23.57,218,0,2,30,25,0,1,0,22,83,3
23.62,240,0,0,25,27,1,1,1,16,121,15
23.67,216,1,0,23,37,0,1,2,27,174,7
23.72,210,0,1,25,26,1,2,0,15,256,7
23.77,210,0,0,18,47,1,0,0,24,321,10
23.82,202,0,0,18,50,1,0,0,19,427,2
23.87,190,0,1,15,33,0,2,5,21,560,5
23.92,202,1,0,17,32,2,0,0,18,688,4
23.97,172,0,0,22,39,2,2,0,22,836,6
24.02,199,0,0,25,29,0,0,0,15,908,5
24.07,181,0,0,17,33,0,0,0,21,952,5
24.12,215,0,0,23,37,2,1,1,20,948,2
24.17,212,0,1,24,35,0,2,0,28,895,1
24.22,183,0,0,30,44,1,0,1,24,870,5
24.28,208,0,1,30,27,1,0,1,20,687,6
24.33,193,0,0,41,16,2,2,1,31,537,10
24.38,209,0,2,60,27,0,3,1,22,460,8
24.43,194,1,0,79,33,2,1,1,29,277,2
24.48,184,0,1,140,30,0,0,2,33,218,6
24.53,189,0,0,180,26,1,2,1,55,118,7
24.58,159,0,0,238,25,0,0,0,71,85,5
24.63,183,2,2,270,18,0,1,0,90,45,5
24.68,184,0,0,327,18,0,1,0,134,31,5
24.73,177,0,0,347,19,0,0,0,198,19,8
24.78,208,0,1,409,19,2,1,0,261,17,1
24.83,172,0,0,418,14,1,0,0,321,21,3
24.88,176,0,1,370,15,1,1,1,379,21,4
24.93,188,0,1,337,8,0,0,0,486,15,5
24.99,164,0,0,294,10,2,3,1,559,9,9
25.04,145,0,0,240,9,1,0,0,648,11,6
25.09,147,0,0,154,10,0,1,1,650,14,6
25.14,163,1,3,129,12,0,1,1,635,12,6
25.19,144,1,0,123,12,4,0,1,615,16,5
25.24,174,0,0,95,9,1,0,0,513,16,5
25.29,149,0,0,80,16,2,0,1,480,11,7
25.34,153,0,1,70,13,0,1,2,302,7,4
25.39,170,0,0,79,12,0,0,0,230,11,5
25.44,132,0,0,48,17,0,2,1,178,8,5
25.49,141,0,0,43,15,0,0,0,121,14,2
25.54,133,1,0,24,15,0,0,1,76,9,4
25.59,132,0,0,19,15,0,0,0,47,17,8
25.64,131,0,0,12,11,2,0,0,27,9,4
25.7,126,1,0,9,17,2,1,0,20,13,0
25.75,130,1,1,9,13,1,1,0,33,8,5
25.8,144,0,0,4,23,2,0,0,22,7,7
25.85,137,0,0,1,22,1,2,1,20,6,1
25.9,125,0,1,6,9,0,1,1,20,6,7
25.95,132,0,1,2,10,0,1,0,19,7,0
26,113,0,0,4,13,2,1,1,23,11,3
26.05,157,0,0,3,12,0,0,0,30,5,0
26.1,112,0,1,3,12,1,1,1,24,9,1
26.15,118,0,0,1,14,0,1,0,31,10,6
26.2,96,0,1,5,14,1,3,0,32,10,2
26.25,109,0,0,7,8,0,0,0,23,9,3
26.3,116,1,0,1,9,2,0,0,23,7,3
26.35,110,0,0,1,13,2,0,1,18,6,3
26.41,110,0,1,2,10,0,0,0,12,12,4
26.46,101,1,0,2,10,0,0,0,19,9,5
26.51,118,0,0,3,10,0,1,0,12,8,3
26.56,120,0,1,9,12,1,0,0,13,7,3
26.61,123,0,0,4,12,1,0,0,14,20,0
26.66,104,0,0,5,12,0,0,0,9,23,2
26.71,121,1,2,1,7,0,0,0,14,31,4
26.76,103,0,1,4,4,0,0,0,8,51,3
26.81,126,0,0,3,9,0,0,1,3,64,4
26.86,92,0,0,2,3,0,0,0,10,82,2
26.91,104,0,0,6,11,0,0,0,10,112,3
26.96,115,0,0,7,6,0,0,0,10,152,3
27.01,94,0,0,1,5,0,0,1,6,132,1
27.06,91,0,1,3,7,0,0,0,6,141,3
27.12,85,1,1,1,8,3,0,0,6,156,1
27.17,78,0,0,3,6,0,1,1,2,147,3
27.22,105,0,1,2,4,0,0,1,14,128,3
27.27,78,0,0,5,2,0,0,0,7,90,5
27.32,84,0,0,4,6,0,0,0,4,66,1
27.37,69,0,0,2,10,0,1,0,7,62,3
27.42,91,1,2,0,2,0,0,0,6,37,4
27.47,89,0,0,4,6,0,2,0,3,42,4
27.52,87,0,0,0,7,0,1,0,3,36,3
27.57,74,1,0,2,2,0,1,0,7,33,1
27.62,86,0,1,2,4,0,0,0,5,31,2
27.67,81,0,0,4,5,0,0,0,15,30,6
27.72,88,0,0,2,8,0,0,0,10,23,0
27.77,87,1,0,3,2,1,1,1,15,16,3
27.83,92,0,1,2,5,0,1,1,28,17,1
27.88,59,0,0,1,6,0,0,2,27,11,2
27.93,90,0,0,0,8,0,2,0,31,9,5
27.98,92,0,0,0,8,1,0,0,57,8,4
28.03,74,0,0,2,7,0,0,3,67,2,1
28.08,72,0,1,0,3,0,0,1,81,1,1
28.13,73,0,1,2,2,0,1,0,110,1,4
28.18,97,0,1,4,8,1,1,0,94,3,1
28.23,84,0,0,0,6,0,0,0,93,1,2
28.28,72,0,1,2,3,0,0,0,84,0,3
28.33,71,0,0,2,4,0,0,1,76,2,3
28.38,62,0,1,2,9,1,1,0,66,2,0
28.43,74,1,1,1,3,0,0,0,44,1,2
28.48,68,0,0,3,3,2,0,0,37,0,4
28.54,74,0,0,1,4,0,1,1,34,1,0
28.59,59,0,0,2,1,0,1,0,28,0,5
28.64,74,0,0,4,7,0,0,0,32,0,4
28.69,66,0,0,2,8,0,0,0,11,0,2
28.74,72,0,1,0,9,0,0,0,24,0,1
28.79,64,0,0,0,6,0,0,0,13,0,1
28.84,69,0,0,1,6,1,0,0,21,0,3
28.89,72,0,0,4,6,0,0,0,15,0,4
28.94,58,0,0,2,7,0,0,0,15,0,0
28.99,56,0,1,1,7,1,0,0,7,1,3
29.04,61,0,1,3,5,0,0,0,9,0,4
29.09,64,0,0,0,4,0,0,0,9,1,0
29.14,50,0,0,1,5,0,0,0,6,0,0
29.19,69,0,0,3,5,1,0,0,4,2,2
29.25,70,0,0,0,4,1,0,1,2,2,5
29.3,64,0,0,2,6,0,0,0,1,2,1
29.35,64,0,1,2,7,0,0,2,7,1,1
29.4,52,0,0,4,5,0,0,0,0,1,1
29.45,43,0,0,1,3,0,0,0,1,0,4
29.5,49,0,0,0,12,0,0,0,3,1,0
29.55,45,0,1,3,8,0,0,0,0,1,3
29.6,48,0,0,3,8,0,0,1,0,2,0
29.65,45,0,0,0,5,0,0,0,3,0,2
29.7,56,0,0,2,5,0,0,0,3,0,1
29.75,47,0,0,0,11,0,0,0,1,1,0
29.8,51,0,0,2,7,0,0,0,0,1,1
29.85,64,0,1,1,7,1,0,0,3,1,2
29.9,43,0,0,1,4,0,0,0,4,1,1
29.96,49,0,0,3,1,1,0,0,1,2,2
30.01,50,0,0,2,4,0,0,0,0,1,2
30.06,51,0,0,0,5,0,0,0,2,0,1
30.11,39,0,0,2,6,0,0,0,4,0,3
30.16,40,0,0,2,7,0,0,0,1,2,1
30.21,48,0,0,0,9,0,0,0,2,0,1
30.26,50,0,0,3,5,0,0,1,2,1,1
30.31,37,0,0,2,7,0,0,0,1,0,0
30.36,43,0,0,1,9,0,1,0,1,0,2
30.41,45,0,0,2,14,0,0,0,0,1,1
30.46,39,0,0,1,2,0,1,0,1,0,1
30.51,44,0,0,1,12,0,0,0,1,1,1
30.56,27,0,0,0,9,0,0,0,0,0,2
30.61,35,0,1,0,9,0,1,0,0,0,1
30.67,38,0,0,1,13,0,0,0,0,0,0
30.72,36,0,1,1,13,1,0,0,0,0,0
30.77,38,0,1,2,9,0,0,1,1,0,0
30.82,37,0,0,1,4,0,0,0,1,0,3
30.87,37,0,0,0,6,0,0,0,0,0,1
30.92,23,0,0,1,6,0,0,0,0,1,1
30.97,42,0,0,0,7,0,0,0,0,0,0
31.02,40,0,1,1,5,0,0,0,0,1,0
31.07,31,0,0,0,2,0,0,0,1,0,1
31.12,31,0,0,0,6,0,1,0,0,0,0
31.17,27,0,0,1,2,0,1,0,0,1,0
31.22,31,0,0,1,4,0,0,0,1,0,0
31.27,22,0,0,3,3,0,0,0,0,1,1
31.32,46,0,0,0,3,0,0,0,0,0,2
31.38,30,0,0,1,0,0,0,0,0,0,1
31.43,37,0,0,0,2,0,0,0,0,0,0
31.48,32,0,0,1,3,0,0,0,0,0,0
31.53,25,0,0,0,2,0,1,0,0,0,0
31.58,28,0,0,1,3,0,0,0,1,0,0
31.63,36,0,0,1,4,0,0,0,0,1,0
31.68,24,0,0,1,5,0,0,0,1,0,3
31.73,31,0,0,1,3,0,0,0,0,1,1
31.78,41,0,0,0,1,0,0,0,0,0,0
31.83,26,0,0,0,2,0,0,0,0,0,0
31.88,28,0,0,0,0,0,0,0,0,0,0
31.93,18,0,0,1,2,0,0,0,0,0,0
31.98,24,0,0,2,1,0,0,1,0,0,1
32.03,21,0,0,0,1,0,0,0,0,0,0
32.09,23,0,0,1,0,0,0,0,0,0,1
32.14,21,0,0,0,4,0,0,0,0,0,0
32.19,17,0,0,1,2,0,0,0,0,1,1
32.24,15,0,0,0,4,0,0,0,0,0,0
32.29,22,0,0,2,2,0,0,0,0,1,0
32.34,26,0,0,0,2,0,0,0,0,0,0
32.39,16,0,0,0,0,0,0,0,1,1,1
32.44,13,0,0,1,3,0,0,0,0,0,0
32.49,17,0,0,1,2,0,1,0,1,0,0
32.54,19,1,0,2,3,0,0,0,3,2,0
32.59,17,0,0,1,5,0,0,0,1,0,0
32.64,17,0,0,1,1,0,0,0,1,0,0
32.69,14,0,0,4,0,0,0,0,0,0,0
32.74,19,0,0,2,2,0,0,0,0,0,0
32.8,19,0,0,5,2,0,0,0,0,0,0
32.85,12,0,0,3,0,0,0,0,1,0,0
32.9,9,0,1,1,0,0,0,0,1,0,0
32.95,13,0,0,0,0,0,0,0,1,0,0
33,10,0,0,2,1,0,0,0,0,1,0
33.05,14,0,0,2,4,0,0,0,0,1,0
33.1,11,0,0,1,0,0,0,0,1,0,1
33.15,12,0,0,1,0,0,0,0,0,1,0
33.2,11,0,0,0,0,0,0,0,0,0,0
33.25,13,0,0,0,1,0,0,0,0,0,1
33.3,14,0,1,0,1,0,0,0,1,1,0
33.35,7,0,1,1,0,0,0,0,0,0,2
33.4,5,0,0,0,0,0,0,0,0,0,0
33.45,11,0,0,1,0,0,0,0,0,0,0
33.51,9,0,0,3,0,0,0,0,0,0,0
33.56,11,0,2,4,1,0,0,0,0,0,0
33.61,5,0,0,3,0,0,0,0,0,0,0
33.66,7,0,0,3,1,0,0,0,0,0,0
33.71,10,0,0,2,0,0,0,0,0,0,0
